#MAP3D
SIZE,20,8,20
START,16,1,14
GOAL,9,2,1

[FLOOR]
y,z,x,id,rot
0,15,8,0,0
0,15,9,0,0
0,15,10,0,0
0,15,11,0,0
0,16,8,0,0
0,16,9,0,0
0,16,10,0,0
0,16,11,0,0
0,17,7,0,0
0,17,8,0,0
0,17,9,0,0
0,17,10,0,0
0,17,11,0,0
0,17,12,0,0
0,18,8,0,0
0,18,9,0,0
0,18,10,0,0
0,18,11,0,0
0,19,8,0,0
0,19,9,0,0
0,19,10,0,0
0,19,11,0,0
1,7,3,0,2
1,7,4,0,2
1,7,15,0,2
1,7,16,0,2
1,8,3,0,2
1,8,4,0,2
1,8,15,0,2
1,8,16,0,2
1,9,3,0,2
1,9,4,0,2
1,9,15,0,2
1,9,16,0,2
1,9,19,0,3
1,10,3,0,2
1,10,4,0,2
1,10,5,0,0
1,10,15,0,2
1,10,16,0,2
1,10,19,0,3
1,11,3,0,2
1,11,4,0,2
1,11,5,0,0
1,11,15,0,2
1,11,16,0,2
1,11,17,0,0
1,11,18,0,0
1,11,19,0,0
1,12,3,0,2
1,12,4,0,2
1,12,5,0,0
1,12,6,0,0
1,12,7,0,0
1,12,15,0,2
1,12,16,0,1
1,12,17,0,0
1,12,18,0,0
1,12,19,0,0
1,13,2,0,0
1,13,3,0,0
1,13,4,0,0
1,13,5,0,0
1,13,6,0,0
1,13,7,0,0
1,13,14,0,0
1,13,15,0,0
1,13,16,0,0
1,13,17,0,3
1,13,18,0,3
1,13,19,0,3
1,14,2,0,0
1,14,3,0,0
1,14,4,0,0
1,14,5,0,0
1,14,6,0,0
1,14,14,0,0
1,14,15,0,0
1,14,16,0,0
1,14,17,0,0
1,14,18,0,3
1,14,19,0,3
1,15,2,0,0
1,15,3,0,0
1,15,4,0,0
1,15,5,0,0
1,15,6,0,0
1,15,14,0,0
1,15,15,0,0
1,15,16,0,0
1,15,17,0,0
1,15,18,0,3
1,15,19,0,3
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,16,14,0,0
1,16,15,0,0
1,16,16,0,0
1,16,17,0,0
1,16,19,0,3
1,17,2,0,0
1,17,3,0,0
1,17,4,0,0
1,17,5,0,0
1,17,14,0,0
1,17,15,0,0
1,17,16,0,0
1,17,17,0,0
1,17,18,0,3
1,17,19,0,3
2,1,3,0,2
2,1,4,0,2
2,1,5,0,2
2,1,6,0,2
2,1,7,0,2
2,1,8,0,2
2,1,9,0,2
2,1,10,0,2
2,1,11,0,2
2,1,12,0,2
2,1,13,0,2
2,1,14,0,2
2,1,15,0,2
2,1,16,0,2
2,2,3,0,2
2,2,4,0,2
2,2,5,0,2
2,2,6,0,2
2,2,7,0,0
2,2,8,0,2
2,2,9,0,2
2,2,10,0,2
2,2,11,0,2
2,2,12,0,2
2,2,13,0,2
2,2,14,0,2
2,2,15,0,2
2,2,16,0,2
2,3,3,0,2
2,3,4,0,2
2,3,5,0,2
2,3,6,0,2
2,3,7,0,0
2,3,8,0,2
2,3,9,0,2
2,3,10,0,2
2,3,11,0,2
2,3,12,0,2
2,3,13,0,2
2,3,14,0,2
2,3,15,0,2
2,3,16,0,2
2,4,3,0,2
2,4,4,0,2
2,4,5,0,2
2,4,6,0,2
2,4,7,0,2
2,4,8,0,2
2,4,9,0,2
2,4,10,0,2
2,4,11,0,2
2,4,12,0,2
2,4,13,0,2
2,4,14,0,2
2,4,15,0,2
2,4,16,0,2
2,5,3,0,2
2,5,4,0,2
2,5,5,0,2
2,5,6,0,2
2,5,7,0,2
2,5,8,0,2
2,5,9,0,2
2,5,10,0,2
2,5,11,0,2
2,5,12,0,2
2,5,13,0,2
2,5,14,0,2
2,5,15,0,2
2,5,16,0,2
2,6,4,0,2
2,6,5,0,2
2,6,6,0,2
2,6,7,0,2
2,6,8,0,2
2,6,9,0,2
2,6,10,0,2
2,6,11,0,2
2,6,12,0,2
2,6,13,0,2
2,6,14,0,2
2,6,15,0,2
2,6,16,0,2

[WALL_A]
y,z,x,id,rot
0,12,2,1,2
0,12,3,1,2
0,12,4,1,2
0,12,5,1,2
0,13,1,1,1
0,13,6,1,3
0,14,1,1,1
0,14,6,1,3
0,15,1,1,1
0,15,6,1,3
0,15,9,1,0
0,15,10,1,0
0,16,1,1,1
0,16,6,1,3
0,16,7,1,1
0,16,8,1,1
0,16,9,1,0
0,16,10,1,0
0,16,12,1,3
0,17,3,1,2
0,17,4,1,2
